# Format: Opcode ; ALUOp InsType PCInSel ALUSrc RegIn RegWe MemWe # Line Index & Category

# 0x00: Loads (LB, LH, LW, LBU, LHU)
0000011 ; 10 000 00 1 001 1 0 # 0x00: Loads

# 0x01 & 0x02: Unused Opcodes
0000111 ; 00 000 00 0 000 0 0 # 0x01: Unused
0001011 ; 00 000 00 0 000 0 0 # 0x02: Unused

# 0x03: FENCE (Memory Ordering - Treat as NOP)
0001111 ; 00 000 00 0 000 0 0 # 0x03: FENCE

# 0x04: I-Type Math (ADDI, SLTI, XORI, ORI, ANDI, SLLI, SRLI, SRAI)
0010011 ; 00 000 00 1 000 1 0 # 0x04: I-Type Math

# 0x05: AUIPC (Add Upper Immediate to PC)
0010111 ; 00 011 00 0 100 1 0 # 0x05: AUIPC

# 0x06 & 0x07: Unused Opcodes
0011011 ; 00 000 00 0 000 0 0 # 0x06: Unused
0011111 ; 00 000 00 0 000 0 0 # 0x07: Unused

# 0x08: Stores (SB, SH, SW)
0100011 ; 10 001 00 1 000 0 1 # 0x08: Stores

# 0x09 to 0x0B: Unused Opcodes
0100111 ; 00 000 00 0 000 0 0 # 0x09: Unused
0101011 ; 00 000 00 0 000 0 0 # 0x0A: Unused
0101111 ; 00 000 00 0 000 0 0 # 0x0B: Unused

# 0x0C: R-Type Math (ADD, SUB, SLL, SLT, SLTU, XOR, SRL, SRA, OR, AND)
0110011 ; 01 000 00 0 000 1 0 # 0x0C: R-Type Math

# 0x0D: LUI (Load Upper Immediate)
0110111 ; 00 011 00 0 011 1 0 # 0x0D: LUI

# 0x0E to 0x17: Unused Opcodes
0111011 ; 00 000 00 0 000 0 0 # 0x0E: Unused
0111111 ; 00 000 00 0 000 0 0 # 0x0F: Unused
1000011 ; 00 000 00 0 000 0 0 # 0x10: Unused
1000111 ; 00 000 00 0 000 0 0 # 0x11: Unused
1001011 ; 00 000 00 0 000 0 0 # 0x12: Unused
1001111 ; 00 000 00 0 000 0 0 # 0x13: Unused
1010011 ; 00 000 00 0 000 0 0 # 0x14: Unused
1010111 ; 00 000 00 0 000 0 0 # 0x15: Unused
1011011 ; 00 000 00 0 000 0 0 # 0x16: Unused
1011111 ; 00 000 00 0 000 0 0 # 0x17: Unused

# 0x18: Conditional Branches (BEQ, BNE, BLT, BGE, BLTU, BGEU)
1100011 ; 11 010 11 0 000 0 0 # 0x18: Conditional Branches

# 0x19: JALR (Jump and Link Register)
1100111 ; 10 000 10 1 010 1 0 # 0x19: JALR

# 0x1A: Unused Opcode
1101011 ; 00 000 00 0 000 0 0 # 0x1A: Unused

# 0x1B: JAL (Jump and Link)
1101111 ; 00 100 01 0 010 1 0 # 0x1B: JAL

# 0x1C: SYSTEM (ECALL, EBREAK - Treat as NOP or Halt)
1110011 ; 00 000 00 0 000 0 0 # 0x1C: SYSTEM

# 0x1D to 0x1F: Unused Opcodes
1110111 ; 00 000 00 0 000 0 0 # 0x1D: Unused
1111011 ; 00 000 00 0 000 0 0 # 0x1E: Unused
1111111 ; 00 000 00 0 000 0 0 # 0x1F: Unused
